end,production_resource_name,start,avail_qty,nominal_power,Total_Capacity,Outage_Factor
2023-06-09 14:30:00+00:00,Alqueva,2023-06-09 14:00:00+00:00,0,127.0,,0.0
2023-06-09 14:45:00+00:00,Alqueva,2023-06-09 14:30:00+00:00,0,127.0,,0.0
2023-06-20 08:00:00+00:00,Alqueva,2023-06-20 07:30:00+00:00,0,127.0,,0.0
2023-06-20 11:00:00+00:00,Alqueva,2023-06-20 08:00:00+00:00,0,127.0,,0.0
2023-06-20 16:00:00+00:00,Alqueva,2023-06-20 13:00:00+00:00,0,127.0,,0.0
2023-08-22 17:15:00+00:00,Alqueva,2023-06-29 15:00:00+00:00,0,6096.0,,0.0
2023-06-29 15:00:00+00:00,Alqueva,2023-06-26 08:00:00+00:00,0,127.0,,0.0
2023-08-25 16:00:00+00:00,Alqueva,2023-08-22 17:15:00+00:00,0,127.0,,0.0
2023-08-25 16:30:00+00:00,Alqueva,2023-08-25 16:00:00+00:00,0,127.0,,0.0
2023-08-25 16:30:00+00:00,Alqueva,2023-08-25 16:30:00+00:00,0,127.0,,0.0
2023-09-17 11:45:00+00:00,Alqueva,2023-08-29 00:00:00+00:00,0,3048.0,,0.0
2023-08-29 00:00:00+00:00,Alqueva,2023-08-28 08:00:00+00:00,0,127.0,,0.0
2023-10-19 11:00:00+00:00,Alqueva,2023-09-17 11:45:00+00:00,0,127.0,,0.0
2023-10-19 11:15:00+00:00,Alqueva,2023-10-19 11:15:00+00:00,0,127.0,,0.0
2023-10-19 11:30:00+00:00,Alqueva,2023-10-19 11:15:00+00:00,0,127.0,,0.0
2023-10-19 12:00:00+00:00,Alqueva,2023-10-19 11:30:00+00:00,0,127.0,,0.0
2023-10-19 17:00:00+00:00,Alqueva,2023-10-19 12:00:00+00:00,0,127.0,,0.0
2023-10-19 17:30:00+00:00,Alqueva,2023-10-19 17:00:00+00:00,0,127.0,,0.0
2023-10-19 17:30:00+00:00,Alqueva,2023-10-19 17:30:00+00:00,0,127.0,,0.0
2023-10-30 16:00:00+00:00,Alqueva,2023-10-30 15:00:00+00:00,0,127.0,,0.0
2023-10-30 16:45:00+00:00,Alqueva,2023-10-30 16:30:00+00:00,0,127.0,,0.0
2023-10-30 17:00:00+00:00,Alqueva,2023-10-30 16:45:00+00:00,0,127.0,,0.0
2023-10-30 18:00:00+00:00,Alqueva,2023-10-30 17:00:00+00:00,0,127.0,,0.0
2023-10-30 18:30:00+00:00,Alqueva,2023-10-30 18:00:00+00:00,0,127.0,,0.0
2023-10-30 18:30:00+00:00,Alqueva,2023-10-30 18:30:00+00:00,0,127.0,,0.0
2023-11-17 18:00:00+00:00,Alqueva,2023-11-07 08:00:00+00:00,0,381.0,,0.0
2023-11-07 08:00:00+00:00,Alqueva,2023-11-06 09:00:00+00:00,0,127.0,,0.0
2023-11-17 21:30:00+00:00,Alqueva,2023-11-17 21:30:00+00:00,0,127.0,,0.0
2023-11-17 22:00:00+00:00,Alqueva,2023-11-17 21:30:00+00:00,0,127.0,,0.0
2023-11-18 13:00:00+00:00,Alqueva,2023-11-17 22:00:00+00:00,0,127.0,,0.0
2023-11-18 13:30:00+00:00,Alqueva,2023-11-18 13:00:00+00:00,0,127.0,,0.0
2023-11-18 13:45:00+00:00,Alqueva,2023-11-18 13:30:00+00:00,0,127.0,,0.0
2023-11-19 22:15:00+00:00,Alqueva,2023-11-19 22:00:00+00:00,0,127.0,,0.0
2023-11-19 22:30:00+00:00,Alqueva,2023-11-19 22:15:00+00:00,0,127.0,,0.0
2023-11-19 23:00:00+00:00,Alqueva,2023-11-19 22:30:00+00:00,0,127.0,,0.0
2023-11-21 00:00:00+00:00,Alqueva,2023-11-19 23:00:00+00:00,0,127.0,,0.0
2023-11-21 09:00:00+00:00,Alqueva,2023-11-21 08:45:00+00:00,0,127.0,,0.0
2023-11-21 08:45:00+00:00,Alqueva,2023-11-21 08:45:00+00:00,0,127.0,,0.0
2023-11-21 13:00:00+00:00,Alqueva,2023-11-21 09:00:00+00:00,0,127.0,,0.0
2023-11-21 13:30:00+00:00,Alqueva,2023-11-21 13:00:00+00:00,0,127.0,,0.0
2023-11-21 13:30:00+00:00,Alqueva,2023-11-21 13:30:00+00:00,0,127.0,,0.0
2023-11-25 03:00:00+00:00,Alqueva,2023-11-25 02:45:00+00:00,0,127.0,,0.0
2023-11-25 04:00:00+00:00,Alqueva,2023-11-25 03:00:00+00:00,0,127.0,,0.0
2023-11-25 04:30:00+00:00,Alqueva,2023-11-25 04:00:00+00:00,0,127.0,,0.0
2023-11-25 04:45:00+00:00,Alqueva,2023-11-25 04:30:00+00:00,0,127.0,,0.0
2023-11-25 17:15:00+00:00,Alqueva,2023-11-25 17:00:00+00:00,0,127.0,,0.0
2023-11-25 17:30:00+00:00,Alqueva,2023-11-25 17:15:00+00:00,0,127.0,,0.0
2023-11-25 18:00:00+00:00,Alqueva,2023-11-25 17:30:00+00:00,0,127.0,,0.0
2023-11-25 19:00:00+00:00,Alqueva,2023-11-25 18:00:00+00:00,0,127.0,,0.0
2023-11-29 11:30:00+00:00,Alqueva,2023-11-29 11:00:00+00:00,0,127.0,,0.0
2023-11-29 11:30:00+00:00,Alqueva,2023-11-29 11:30:00+00:00,0,127.0,,0.0
2023-12-01 05:00:00+00:00,Alqueva,2023-12-01 04:30:00+00:00,0,127.0,,0.0
2023-12-01 12:00:00+00:00,Alqueva,2023-12-01 05:00:00+00:00,0,127.0,,0.0
