,CCGT,CHP,DAC,H2 turbine,Imports_Exports,OCGT,battery storage,distribution network,hydroelectricity,nuclear,offshore wind,onshore wind,power-to-gas,solar,solar curtailment,onshore curtailment,offshore curtailment,V2G
2013-01-20 17:00:00,4.71925922804144E-06,0.385971244105613,-0.599998310215146,3.27798887737428E-06,11.8596836782676,1.84080275122906E-06,6.76209421764692E-05,-21.3565106646187,0.0717452347164191,0.0785405757722473,6.09640245755035,3.48692778387498,-0.0228184700212856,0,0,-6.16386706667527E-06,-6.62496017048397E-06,4.32824423682984E-06
2013-01-20 18:00:00,4.72293953989287E-06,0.385971284650582,-0.599998309863141,3.282686973471E-06,12.5560200438246,1.84306806824742E-06,4.53155474047259E-06,-21.3565103223048,0.0717444954087197,0.0785405894040201,5.70966530008578,3.1773919359397,-0.0228184605105805,0,0,-6.13026651814153E-06,-6.58923822891211E-06,4.30768253348565E-06
2013-01-20 19:00:00,4.72268334981935E-06,0.385971307625677,-0.599998309640736,3.28293628561332E-06,13.3591916485383,1.8433035207997E-06,-5.38739739344392E-05,-21.3565032613572,0.0717437549243295,0.0785406207550754,4.97347209610517,3.11046494113435,-0.0228184540876168,0,0,-6.12565311861602E-06,-6.51357078709225E-06,4.84579685238135E-06
2013-01-20 20:00:00,4.73793014979603E-06,0.385971423679105,-0.599998308133902,3.28956672783547E-06,15.0170879918738,1.84991794910722E-06,-0.000151155497228789,-21.356501861182,0.0717430887771199,0.078540705788492,3.47517959118181,2.95095716311147,-0.0228184239463266,0,0,-6.09998273498036E-06,-6.28382462019772E-06,4.83078495568739E-06
2013-01-20 21:00:00,4.85736344278011E-06,0.385975247052846,-0.599998283192592,3.37793682091104E-06,14.559538273924,1.87940019828127E-06,1.25616951259053,-21.3564943066976,0.0717478507992236,0.0785408876432694,2.72702785275277,2.90031848655151,-0.0228165588419635,0,0,-5.85434989538669E-06,-5.90543930633203E-06,4.85744172869749E-06
2013-01-20 22:00:00,4.85270049861996E-06,0.385939416349624,-0.599998501267018,3.37048609531739E-06,13.9545189753764,1.87633741257161E-06,1.33274062401211,-20.6233805423022,0.0717471214587892,0.0785409024472975,2.8140045084748,2.60871223101885,-0.0228166092220159,0,0,-5.77763528337982E-06,-5.96406374262415E-06,5.70217867122669E-06
2013-01-20 23:00:00,4.73367312227522E-06,0.385900555483526,-0.599998558572085,3.2837886982612E-06,13.8052583227965,1.8472982142522E-06,-0.138604705136707,-19.4680298210606,0.0717405071278958,0.0785407407703889,2.94759643200791,2.94042414545213,-0.0228185237306593,0,0,-6.11384538841264E-06,-6.2473911663119E-06,5.9978485948872E-06
2013-01-21 00:00:00,4.73619382418146E-06,0.38590106457898,-0.599998553755742,3.28238972142891E-06,13.2233031024171,1.84767784612931E-06,-0.385335365885898,-18.6342362996501,0.0717399934317788,0.0785407513734807,2.91875632228626,2.96415648768307,-0.0228184621161845,0,0,-6.10485413380957E-06,-6.24053710345152E-06,6.02642958831936E-06
2013-01-21 01:00:00,4.73340862922423E-06,0.385900970553342,-0.599998554576682,3.27828526599911E-06,13.3729187847768,1.84601907729875E-06,-0.858544411662957,-18.3150523646735,0.0717389839218328,0.0785407513802221,2.86813933127461,3.01918406455305,-0.0228184962033778,0,0,-6.11524358387783E-06,-6.24682172218627E-06,6.03306650619597E-06
2013-01-21 02:00:00,4.73586139589578E-06,0.385901039611563,-0.599998555741209,3.27939646967599E-06,13.389648875459,1.84689894969251E-06,-0.595687540407457,-18.3842746440131,0.071737904557903,0.078540743540503,2.76467285228226,2.91228683191048,-0.022818473136557,0,0,-6.10187128168604E-06,-6.24303390799241E-06,6.03142833095579E-06
2013-01-21 03:00:00,4.73001329987683E-06,0.38590038001624,-0.599998558283047,3.27356026444174E-06,14.7726230985351,1.84382547502478E-06,-0.7187074357541,-19.3386214366638,0.0717360398562278,0.0785407389066478,2.57652983286685,2.79482494573257,-0.0228186045309264,0,0,-6.06233403868828E-06,-6.23176724957375E-06,6.04125271596632E-06
2013-01-21 04:00:00,4.89518678136649E-06,0.3859765793469,-0.599998268452121,3.39706118702591E-06,15.790872232975,1.88347010390007E-06,0.189152292981198,-21.3564873888997,0.0717446963582161,0.0785409636451502,2.74640417522034,2.71661929555795,-0.0228160328845748,0,0,-5.72486132726624E-06,-5.91533177043857E-06,4.90209847840775E-06
