Fuel,Technology,Type / Class,Age bin,PowerCapacity,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,RampingCost,PartLoadMin,StartUpTime,CHPType,NoLoadCost_pu,MinEfficiency,CO2Intensity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency
LIG,STUR,Ultra-supercritical,20,399.9999999999,0.389027071133801,6.5,2.25,0.0329,0.0329,26.85,1.8,0.4,3.5,,,,1.15,,,
LIG,STUR,Ultra-supercritical,20,150,0.389027071133801,6.5,2.25,0.0329,0.0329,26.85,1.8,0.4,3.5,,,,1.15,,,
LIG,STUR,Ultra-supercritical,20,149.9999999999,0.329906048656753,6.5,2.25,0.0329,0.0329,26.85,1.8,0.4,3.5,,,,1.15,,,
LIG,STUR,Ultra-supercritical,20,7.5,0.329906048656753,6.5,2.25,0.0329,0.0329,26.85,1.8,0.4,3.5,,,,1.15,,,
LIG,STUR,Ultra-supercritical,20,7.4999999999,0.255389387320833,6.5,2.25,0.0329,0.0329,26.85,1.8,0.4,3.5,,,,1.15,,,
HRD,IGCC,,,400,0.442,,,0.035,0.035,,,,,,,,0.8,,,
HRD,IGCC,,,399.9999999999,0.442,,,0.035,0.035,,,,,,,,0.8,,,
HRD,IGCC,,,150,0.442,,,0.035,0.035,,,,,,,,0.8,,,
HRD,IGCC,,,149.9999999999,0.442,,,0.035,0.035,,,,,,,,0.8,,,
HRD,IGCC,,,7.5,0.442,,,0.035,0.035,,,,,,,,0.8,,,
HRD,IGCC,,,7.4999999999,0.442,,,0.035,0.035,,,,,,,,0.8,,,
LIG,IGCC,,,400,0.442,,,0.035,0.035,,,,,,,,1.05,,,
LIG,IGCC,,,399.9999999999,0.442,,,0.035,0.035,,,,,,,,1.05,,,
LIG,IGCC,,,150,0.442,,,0.035,0.035,,,,,,,,1.05,,,
LIG,IGCC,,,149.9999999999,0.442,,,0.035,0.035,,,,,,,,1.05,,,
LIG,IGCC,,,7.5,0.442,,,0.035,0.035,,,,,,,,1.05,,,
LIG,IGCC,,,7.4999999999,0.442,,,0.035,0.035,,,,,,,,1.05,,,
HRD,STUR,,,400,0.705,,,0.0066,0.0066,,,0.3,,back-pressure,,,0.88,,,
HRD,STUR,,,399.9999999999,0.705,,,0.0066,0.0066,,,0.3,,back-pressure,,,0.88,,,
HRD,STUR,,,150,0.705,,,0.0066,0.0066,,,0.3,,back-pressure,,,0.88,,,
HRD,STUR,,,149.9999999999,0.705,,,0.0066,0.0066,,,0.3,,back-pressure,,,0.88,,,
HRD,STUR,,,7.5,0.705,,,0.0066,0.0066,,,0.3,,back-pressure,,,0.88,,,
HRD,STUR,,,7.4999999999,0.905,,,0.0066,0.0066,,,0.3,,back-pressure,,,0.88,,,
LIG,STUR,,,400,0.705,,,0.0066,0.0066,,,0.3,,back-pressure,,,1.15,,,
LIG,STUR,,,399.9999999999,0.705,,,0.0066,0.0066,,,0.3,,back-pressure,,,1.15,,,
LIG,STUR,,,150,0.705,,,0.0066,0.0066,,,0.3,,back-pressure,,,1.15,,,
LIG,STUR,,,149.9999999999,0.705,,,0.0066,0.0066,,,0.3,,back-pressure,,,1.15,,,
LIG,STUR,,,7.5,0.705,,,0.0066,0.0066,,,0.3,,back-pressure,,,1.15,,,
LIG,STUR,,,7.4999999999,0.905,,,0.0066,0.0066,,,0.3,,back-pressure,,,1.15,,,
HRD,STUR,,,400,0.705,,,0.0066,0.0066,,,0.3,,extraction,,,0.88,,,
HRD,STUR,,,399.9999999999,0.705,,,0.0066,0.0066,,,0.3,,extraction,,,0.88,,,
HRD,STUR,,,150,0.705,,,0.0066,0.0066,,,0.3,,extraction,,,0.88,,,
HRD,STUR,,,149.9999999999,0.705,,,0.0066,0.0066,,,0.3,,extraction,,,0.88,,,
HRD,STUR,,,7.5,0.705,,,0.0066,0.0066,,,0.3,,extraction,,,0.88,,,
HRD,STUR,,,7.4999999999,0.905,,,0.0066,0.0066,,,0.3,,extraction,,,0.88,,,
LIG,STUR,,,400,0.705,,,0.0066,0.0066,,,0.3,,extraction,,,1.15,,,
LIG,STUR,,,399.9999999999,0.705,,,0.0066,0.0066,,,0.3,,extraction,,,1.15,,,
LIG,STUR,,,150,0.705,,,0.0066,0.0066,,,0.3,,extraction,,,1.15,,,
LIG,STUR,,,149.9999999999,0.705,,,0.0066,0.0066,,,0.3,,extraction,,,1.15,,,
LIG,STUR,,,7.5,0.705,,,0.0066,0.0066,,,0.3,,extraction,,,1.15,,,
LIG,STUR,,,7.4999999999,0.905,,,0.0066,0.0066,,,0.3,,extraction,,,1.15,,,
GAS,COMC,aeroderivative,,350,0.5863,3.125,3.25,0.06415,0.06415,21.4,0.375,0.325,,,,,0.4,,,
GAS,COMC,aeroderivative,,349.9999999999,0.54125,3.125,3.25,0.06415,0.06415,21.4,0.375,0.325,,,,,0.4,,,
GAS,COMC,aeroderivative,,100,0.54125,3.125,3.25,0.06415,0.06415,21.4,0.375,0.325,,,,,0.4,,,
GAS,COMC,aeroderivative,,99.9999999999,0.5242,3.125,3.25,0.06415,0.06415,21.4,0.375,0.325,,,,,0.4,,,
GAS,COMC,aeroderivative,,9,0.5242,3.125,3.25,0.06415,0.06415,21.4,0.375,0.325,,,,,0.4,,,
GAS,COMC,aeroderivative,,8.9999999999,0.51925,3.125,3.25,0.06415,0.06415,21.4,0.375,0.325,,,,,0.4,,,
OIL,COMC,aeroderivative,,350,0.5863,3.125,3.25,0.06415,0.06415,21.4,0.375,0.325,,,,,0.7,,,
OIL,COMC,aeroderivative,,349.9999999999,0.54125,3.125,3.25,0.06415,0.06415,21.4,0.375,0.325,,,,,0.7,,,
OIL,COMC,aeroderivative,,100,0.54125,3.125,3.25,0.06415,0.06415,21.4,0.375,0.325,,,,,0.7,,,
OIL,COMC,aeroderivative,,99.9999999999,0.5242,3.125,3.25,0.06415,0.06415,21.4,0.375,0.325,,,,,0.7,,,
OIL,COMC,aeroderivative,,9,0.5242,3.125,3.25,0.06415,0.06415,21.4,0.375,0.325,,,,,0.7,,,
OIL,COMC,aeroderivative,,8.9999999999,0.51925,3.125,3.25,0.06415,0.06415,21.4,0.375,0.325,,,,,0.7,,,
GAS,COMC,Heavy-duty E,,350,0.5534,2.125,3.25,0.06415,0.06415,21.4,0.375,0.375,2.5,,,,0.4,,,
GAS,COMC,Heavy-duty E,,349.9999999999,0.52637,2.125,3.25,0.06415,0.06415,21.4,0.375,0.375,2.5,,,,0.4,,,
GAS,COMC,Heavy-duty E,,100,0.52637,2.125,3.25,0.06415,0.06415,21.4,0.375,0.375,2.5,,,,0.4,,,
