Unnamed: 0,Unit,PowerCapacity,Nunits,Zone,Zone_th,Zone_h2,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,CHPMaxHeat,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption,Company
,RADAG,79.5,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Rheinkraftwerk Albbruck-Dogern AG
,WKW,24.0,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Rheinkraftwerk Albbruck-Dogern AG
,Werkskraftwerk Sappi Alfeld,0.1,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Sappi Alfeld GmbH
,Egglfing,84.0,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Innwerk AG
,Rheinkraftwerk Säckingen,36.8,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,EnBW Energie Baden-Württemberg AG
,Säckingen,360.0,1.0,DE,,,HPHS,WAT,0.75,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Schluchseewerk Aktiengesellschaft
,Bergheim,23.7,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Donau-Wasserkraft AG
,Alzwerke,45.0,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Alzwerke GmbH
,Waldeck1/Bringhausen,145.0,1.0,DE,,,HPHS,WAT,0.75,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Uniper Kraftwerke GmbH 
,Waldeck 2,480.0,1.0,DE,,,HPHS,WAT,0.75,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Uniper Kraftwerke GmbH 
,Hemfurth,20.0,1.0,DE,,,HROR,WAT,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Uniper Kraftwerke GmbH 
,Ering,72.5,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Innwerk AG
,Pumpspeicherwerk Rönkhausen,138.0,1.0,DE,,,HPHS,WAT,0.75,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Mark-E AG
